trial,comparison_basis,vix_on_final_nav_eur,vix_off_final_nav_eur,vix_on_holdout_final_nav_eur,vix_off_holdout_final_nav_eur,delta_on_minus_off,winner
1,holdout_final_nav_eur,21633.766077557244,21248.464438682175,45337.82988996357,47128.66460927132,-1790.8347193077498,VIX OFF
2,holdout_final_nav_eur,26555.016644279876,26006.406867448983,49782.12360166278,49615.20725400872,166.91634765406343,VIX ON
3,holdout_final_nav_eur,24081.622261885685,25547.723828707538,42999.81298926803,45600.85137762266,-2601.038388354631,VIX OFF
4,holdout_final_nav_eur,24821.607606647707,25331.432961311846,43613.17869112132,49598.59806865265,-5985.419377531332,VIX OFF
5,holdout_final_nav_eur,27531.138139648778,27607.373428888586,48269.50986599078,48535.103546397506,-265.59368040672416,VIX OFF
6,holdout_final_nav_eur,26130.586944309165,27137.794401557145,48005.45789174313,51418.34267914295,-3412.884787399824,VIX OFF
7,holdout_final_nav_eur,22719.323830204263,24318.203818641334,48686.06479535859,44089.1569404108,4596.907854947785,VIX ON
8,holdout_final_nav_eur,20116.15211085443,21221.521506503024,41436.171868437836,45565.28781115193,-4129.115942714096,VIX OFF
9,holdout_final_nav_eur,27003.866250074458,26343.616324461353,50465.53458353097,47455.95332547505,3009.5812580559214,VIX ON
10,holdout_final_nav_eur,27280.482113754395,27597.429564394275,55568.99826644081,56684.49877604171,-1115.5005096009045,VIX OFF
11,holdout_final_nav_eur,20453.367919628683,21321.994969096515,38897.40117418418,41832.642981216944,-2935.241807032762,VIX OFF
12,holdout_final_nav_eur,26662.05047038268,27029.793464349506,46030.55108856497,50332.889525162405,-4302.338436597434,VIX OFF
13,holdout_final_nav_eur,28148.7501312488,26264.66705144056,55080.744574865,51454.67609146634,3626.0684833986597,VIX ON
14,holdout_final_nav_eur,22539.048020760438,23788.2255498306,46001.688824906836,45410.52103657364,591.167788333194,VIX ON
15,holdout_final_nav_eur,27471.44155316383,27581.351810988424,54527.87458445232,54421.31577490617,106.55880954614986,VIX ON
16,holdout_final_nav_eur,23322.919116707173,24784.37072247008,39397.1204099606,40034.672597709185,-637.552187748588,VIX OFF
17,holdout_final_nav_eur,27125.666389800746,27018.986533404703,52598.4505963472,50936.04868726576,1662.40190908144,VIX ON
18,holdout_final_nav_eur,26591.283379197186,26668.19562321462,50513.818220997375,48126.10073742349,2387.7174835738842,VIX ON
19,holdout_final_nav_eur,25302.707204972954,25709.587679446206,44843.09291168008,44739.79786161897,103.2950500611114,VIX ON
20,holdout_final_nav_eur,20443.152675417037,24849.634382377204,38723.045670165135,47825.30078117908,-9102.255111013947,VIX OFF
21,holdout_final_nav_eur,28422.220117067056,26501.52843440297,52568.81033260399,50650.22219624088,1918.5881363631124,VIX ON
22,holdout_final_nav_eur,28565.203855675878,27962.07887837071,54297.043409491846,56625.63316825021,-2328.5897587583677,VIX OFF
23,holdout_final_nav_eur,28099.74397134233,26722.767025350822,53122.7353547665,55561.828606127536,-2439.0932513610387,VIX OFF
24,holdout_final_nav_eur,29114.217736580544,27483.079113515516,57341.62258666335,53332.9646516922,4008.6579349711465,VIX ON
25,holdout_final_nav_eur,29509.76301591054,28236.164397397468,57058.70757693708,53148.43212401578,3910.275452921298,VIX ON
26,holdout_final_nav_eur,29406.95639024872,26646.0897091491,55989.43023185532,53754.703067547336,2234.7271643079803,VIX ON
27,holdout_final_nav_eur,27260.24626351215,26897.630240793085,49344.53990871654,51476.58254464571,-2132.042635929167,VIX OFF
28,holdout_final_nav_eur,29377.781047599667,23506.64975034926,52515.94082993782,50418.609614785,2097.3312151528226,VIX ON
29,holdout_final_nav_eur,27303.353316289944,24577.762809707885,54158.402029968966,45597.73974212243,8560.662287846535,VIX ON
30,holdout_final_nav_eur,20672.507106211924,20306.735398911696,33565.29270871218,43169.46937305029,-9604.176664338112,VIX OFF
31,holdout_final_nav_eur,25911.016481059774,22892.599593881663,51650.879148459426,46659.50241797527,4991.376730484153,VIX ON
32,holdout_final_nav_eur,28802.242085449056,27441.917521825875,54909.71616461922,54750.91959265557,158.7965719636486,VIX ON
33,holdout_final_nav_eur,29363.34809237591,27627.641797612407,56081.533704418856,53290.354877705766,2791.1788267130905,VIX ON
34,holdout_final_nav_eur,28440.424950949448,27474.905868334547,51192.35634747935,55867.94401228722,-4675.58766480787,VIX OFF
35,holdout_final_nav_eur,29273.029627124924,27635.156667899035,50808.93619094367,52643.65454174702,-1834.7183508033486,VIX OFF
36,holdout_final_nav_eur,28380.946028372553,28249.15520700606,51342.74541651379,54684.23199501841,-3341.4865785046204,VIX OFF
37,holdout_final_nav_eur,27452.354886472498,28693.377141046647,52806.90500766711,53755.926303919456,-949.0212962523437,VIX OFF
38,holdout_final_nav_eur,28678.911596935817,28993.235520919963,53302.632945656755,56048.80412161214,-2746.1711759553873,VIX OFF
39,holdout_final_nav_eur,24824.855716586862,23568.1404284396,42383.224082347966,45208.74726437859,-2825.5231820306217,VIX OFF
40,holdout_final_nav_eur,26198.455119736227,26634.451399474074,50802.98569357999,49592.31104242519,1210.6746511547972,VIX ON
41,holdout_final_nav_eur,23285.12314255688,27421.426282388296,47928.77668129796,53405.339227096665,-5476.562545798704,VIX OFF
42,holdout_final_nav_eur,29278.31642737804,28835.16635616403,56364.73608517023,57813.74755983837,-1449.0114746681356,VIX OFF
43,holdout_final_nav_eur,29106.97316154471,29163.345500338157,46597.064941983925,55923.254937817095,-9326.18999583317,VIX OFF
44,holdout_final_nav_eur,29582.594689989033,28523.83564287305,57463.51559148915,55010.262191679176,2453.2533998099752,VIX ON
45,holdout_final_nav_eur,28276.262320959977,28714.687139640737,55430.65753446487,53787.98106517688,1642.6764692879951,VIX ON
46,holdout_final_nav_eur,28540.18416498222,28797.237411516155,55999.119222329144,53923.57605851853,2075.5431638106165,VIX ON
47,holdout_final_nav_eur,23151.9586064217,21112.22095990558,40481.68828976999,41889.230694123486,-1407.542404353495,VIX OFF
48,holdout_final_nav_eur,28707.88563981103,28854.383442862843,54828.478762682294,50316.387936303414,4512.090826378881,VIX ON
49,holdout_final_nav_eur,27911.053878456747,27004.06225610057,49683.1120954386,50711.15801881501,-1028.0459233764122,VIX OFF
50,holdout_final_nav_eur,26872.107304749312,29216.50125896082,51404.07835437277,55522.839257061016,-4118.760902688249,VIX OFF
51,holdout_final_nav_eur,25466.39868882202,23989.798810566925,45963.77941705523,42819.271674301526,3144.5077427537035,VIX ON
52,holdout_final_nav_eur,29652.037129307948,27296.305205391865,58026.48124685245,50151.26784217566,7875.21340467679,VIX ON
53,holdout_final_nav_eur,29471.1930429741,28533.59759079107,56409.77632377557,57775.06674134851,-1365.2904175729418,VIX OFF
54,holdout_final_nav_eur,29422.541018522006,28217.139270630396,53684.947227128636,47861.73512872692,5823.2120984017165,VIX ON
55,holdout_final_nav_eur,30145.25022815988,28833.57956600804,50306.608514707346,57194.91831703443,-6888.309802327087,VIX OFF
56,holdout_final_nav_eur,28835.307769180992,28486.351087575156,48667.71350779241,51709.42945047538,-3041.7159426829676,VIX OFF
57,holdout_final_nav_eur,22134.751368095083,21782.19598193657,42160.589085794134,39669.115344420956,2491.473741373178,VIX ON
58,holdout_final_nav_eur,29394.875410354136,29807.91088547554,46335.53981021352,53931.77468433254,-7596.234874119014,VIX OFF
59,holdout_final_nav_eur,29242.882514543744,28980.68918988018,53885.52176608489,45306.730699549786,8578.791066535101,VIX ON
60,holdout_final_nav_eur,28979.857845477767,27599.749959823974,55947.90302027224,50145.39473651875,5802.508283753494,VIX ON
61,holdout_final_nav_eur,28966.447569429347,29736.67919861766,52878.078848044905,53847.11991583952,-969.0410677946129,VIX OFF
62,holdout_final_nav_eur,29830.056612270553,28932.587125599952,58614.01468896447,58955.50564938991,-341.4909604254426,VIX OFF
63,holdout_final_nav_eur,29408.533253942715,29587.383778597345,52774.931841210935,55548.461166211324,-2773.529325000389,VIX OFF
64,holdout_final_nav_eur,29127.64071289065,28559.319474612807,52130.05958596718,46153.40620097258,5976.653384994599,VIX ON
65,holdout_final_nav_eur,29404.517331895408,29777.883399338058,56896.14129495762,47498.6159908994,9397.525304058217,VIX ON
66,holdout_final_nav_eur,29130.4894532767,27830.129182696906,55144.210175105596,45126.754187756924,10017.455987348672,VIX ON
67,holdout_final_nav_eur,23961.144073706695,29468.686608426287,50247.31771292462,52263.88621003605,-2016.5684971114315,VIX OFF
68,holdout_final_nav_eur,29323.753464573972,21000.14368248627,55184.51942645398,39661.78958121145,15522.729845242531,VIX ON
69,holdout_final_nav_eur,28968.525927031184,24862.58761652048,51330.718233753,41586.78862491028,9743.929608842722,VIX ON
70,holdout_final_nav_eur,29071.336077488333,28313.115168342218,49187.67326245328,51734.90048674378,-2547.227224290502,VIX OFF
71,holdout_final_nav_eur,28910.804924014803,29989.03944800153,57098.850622662234,46795.614232593696,10303.236390068538,VIX ON
72,holdout_final_nav_eur,29966.086094899016,29890.802287099054,53043.97867834808,52544.94372254072,499.0349558073649,VIX ON
73,holdout_final_nav_eur,29357.591984694223,25834.10104459138,57273.585646808766,46537.65628400618,10735.929362802584,VIX ON
74,holdout_final_nav_eur,28445.256898796037,25163.693392446952,52244.37359063648,44628.55070412505,7615.822886511429,VIX ON
75,holdout_final_nav_eur,29883.020712854108,25175.957296203407,53292.478541939156,42570.45715589251,10722.021386046647,VIX ON
76,holdout_final_nav_eur,28997.647804532244,25176.904125568228,53950.48325126634,38421.28843910155,15529.194812164795,VIX ON
77,holdout_final_nav_eur,28244.49804459689,24854.410678113807,52603.17312954569,43752.1251663094,8851.047963236291,VIX ON
78,holdout_final_nav_eur,29373.462173941884,29504.521632733024,55681.964395491814,53702.51640985362,1979.447985638195,VIX ON
79,holdout_final_nav_eur,29309.288475592348,28588.208880461672,42617.79531920351,50164.7296860357,-7546.934366832189,VIX OFF
80,holdout_final_nav_eur,29823.62894731799,28194.632392405387,52293.33794445657,57007.735854839455,-4714.397910382882,VIX OFF
81,holdout_final_nav_eur,29058.45628529862,27377.22383332058,50590.829277137134,42553.66903292698,8037.1602442101575,VIX ON
82,holdout_final_nav_eur,29933.768700287896,29375.638500599838,54724.397726533454,53939.47112416203,784.9266023714226,VIX ON
83,holdout_final_nav_eur,29225.94345586969,29202.894747536073,56897.70149765565,52343.93024847719,4553.771249178462,VIX ON
84,holdout_final_nav_eur,29655.835550212414,29563.386594601063,56110.52460055142,52284.244524978756,3826.280075572664,VIX ON
85,holdout_final_nav_eur,29010.621221201454,29832.45559081526,56885.9872660576,55743.359009715874,1142.6282563417262,VIX ON
86,holdout_final_nav_eur,29118.847086022794,29566.766877643946,52240.22132066649,56736.44832106361,-4496.227000397121,VIX OFF
87,holdout_final_nav_eur,29389.191623009538,29971.074415635518,54233.467464490925,54798.187446818345,-564.7199823274204,VIX OFF
88,holdout_final_nav_eur,22309.662186098994,25328.339044741613,37556.18241853788,42943.26281869869,-5387.080400160812,VIX OFF
89,holdout_final_nav_eur,29158.83444774872,28866.730451090698,53397.20273532058,46991.70690569267,6405.495829627907,VIX ON
90,holdout_final_nav_eur,28674.064418692047,29701.337811509413,55417.959330490194,50970.43017592496,4447.529154565236,VIX ON
91,holdout_final_nav_eur,29319.725578611768,25850.31230319925,57412.85254611491,42997.522825987515,14415.329720127396,VIX ON
92,holdout_final_nav_eur,29688.99311926909,27864.337094285183,57945.75820491222,52685.101054555285,5260.657150356936,VIX ON
93,holdout_final_nav_eur,29541.311678104605,27528.160447925577,52301.95222759136,51690.60979091658,611.3424366747859,VIX ON
94,holdout_final_nav_eur,29520.98298903003,24363.981414497714,53052.583256804006,42917.105014523404,10135.478242280602,VIX ON
95,holdout_final_nav_eur,29191.414201152307,29656.31113073589,55884.87270544181,57867.094385434626,-1982.2216799928137,VIX OFF
96,holdout_final_nav_eur,30017.832820860705,29640.555708266234,54600.27050606724,56074.68722801154,-1474.4167219443043,VIX OFF
97,holdout_final_nav_eur,29104.900241155334,24579.304671055386,48820.35539621554,45755.91380912641,3064.4415870891316,VIX ON
98,holdout_final_nav_eur,29649.329023987673,29631.725230410968,48443.392538980974,54098.89127250617,-5655.4987335251935,VIX OFF
99,holdout_final_nav_eur,28550.83237484669,29655.754660381688,50423.1872216511,52006.54242329921,-1583.3552016481117,VIX OFF
100,holdout_final_nav_eur,24456.644415695122,27151.719539089157,41618.35063534016,47614.80346947128,-5996.452834131116,VIX OFF
